"Profession","Title","Company","Location"
"director","Directrice adjointe / Directeur adjoint - Immobilisation et budget","Centre de services scolaire des...","La Prairie, QC"
"director","Directeur de comptes","GROUPE INFOPLUS","Ville de Québec, QC"
"director","Directeur Général - FR","Boston Pizza International, Inc.","Laval, QC+ 1 lieu"
"director","Directeur, sciences des données","Tigre Géant","Ottawa, ON"
"director","Directeur(trice) de projets","Tetra Tech","Télétravail à Rimouski, QC+ 3 lieux"
"director","Directeur-adjoint de magasin","SAIL","Beloeil, QC"
"director","Directeur agricole Québec (H/F)","Pôle Emploi","Brossard, QC"
"director","Directeur(trice) adjoint(e)","Résidences Soleil Pointe-aux-Trembles","Montréal, QC"
"director","Directrice ou directeur - Politiques et campagnes","Oxfam-Québec","Télétravail hybride à Montréal, QC"
"director","Directeur.trice de l'infrastructure","Fonds de solidarité FTQ","Montréal, QC"
"director","DIRECTEUR(TRICE) MÉDICAL(E) ASSOCIÉ(E) OPTILAB - CAPITALE-NATIONALE - CONCOURS 2022-2404","CHU de Québec","Capitale-Nationale, QC"
"director","Directeur(trice) Approvisionnement et logistique","Girardin Blue Bird","Brantford, ON"
"director","Directeur(trice) des Opérations de la montagne","Ski Saint-Bruno","Saint-Bruno-de-Montarville, QC"
"director","Directeur de la maintenance","Cascades","Drummondville, QC"
"director","DIRECTEUR DE CENTRE D'AFFAIRES","Guillevin International","Val-d'Or, QC"
"director","Conseiller juridique bilingue, Directeur","PwC","Télétravail à Toronto, ON"
"director","Directeur, marketing, alliances,","PwC","Toronto, ON"
"director","Directeur/trice marketing","MONTONI","Laval, QC"
"director","Directeur approvisionnement","Vision Ressources Humaines","Canal de la Rive Sud, QC"
"director","Directeur du scrutin fédéral","Elections Canada","Salt Spring Island, BC+ 21 lieux"
"director","Directeur de comptes télémarketing Junior H/F","CyberPublicity","Montréal, QC"
"director","Directeur Service à la clientèle","Banque Nationale du Canada","Montréal, QC+ 2 lieux"
"director","Directeur(trice) Adjoint(e)","Metro Inc.","Gatineau, QC"
"director","Adjoint(e) au directeur(trice) des banquets","La Distinction","Joliette, QC"
"director","Directeur(trice) des ventes - Outaouais/Abitibi","Labatt Breweries Canada","Gatineau, QC"
"director","Purchasing Manager/ Directeur.trice des achats","Atlas Copco Canada Inc.","Montréal, QC"
"director","Directeur associé, gestion générale / Associate Director, General Management","Pratt & Whitney","Longueuil, QC"
"director","Directeur(trice) de construction","PCL Construction","Montréal, QC"
"director","Directeur de l'hébergement (H/F)","Accor HQ","Ville de Québec, QC"
"director","Directeur ou directrice, Relations stratégiques, dépôts","Banque Laurentienne","Télétravail hybride à Toronto, ON"
"director","Directeur principal des relations d'affaires","Financement agricole Canada","Guelph, ON+ 3 lieux"
"director","Directeur principal, Souscription","Northbridge Financial Corporation","Vancouver, BC"
"director","Directeur-adjoint - production","Ocean Marine Ingenuity","Ville de Québec, QC"
"director","Directeur(trice) des services administratifs","Lavery Lawyers","Sherbrooke, QC"
"director","Directeur des opérations","Innergy Tech Inc.","Drummondville, QC"
"director","Directeur.rice Audio","Ubisoft","Télétravail hybride à Ville de Québec, QC"
